url,title,place,date
https://www.sympla.com.br/evento/lauana-prado-raiz-sao-paulo-sp/2763408,LAUANA PRADO RAIZ - SÃO PAULO/SP,"Parque Villa Lobos - Entrada Principal - São Paulo, SP",08 de Nov às 15:00
https://www.sympla.com.br/evento/nosso-pagodin-com-caio-luccas/3071309,NOSSO PAGODIN COM CAIO LUCCAS,"NOSSO PAGODIN - São Gonçalo, RJ",23 de Ago às 21:00
https://www.sympla.com.br/evento/pacote-eventos-reveillon-tantrarosa-2026-28-12-29-12-30-12-31-12-evento-full-open-bar/2944015,PACOTE EVENTOS :: Réveillon TANTRAROSA 2026 :: 28.12 / 29.12 / 30.12 / 31.12 (Evento Full Open Bar),"TANTRAROSA - Garopaba, SC",
https://www.sympla.com.br/evento/100-dias-medverso-a-fantasia-ufrgs-ufcspa-unisinos-ulbra/3053964,100 DIAS MEDVERSO À FANTASIA - UFRGS UFCSPA UNISINOS ULBRA,"URB Stage - Porto Alegre, RS",05 de Set às 23:00
https://www.sympla.com.br/evento/forro-da-lua-2025-lua-cheia-de-setembro/3071303,Forró da Lua - 2025 - Lua Cheia de Setembro,"Forró da Lua - Água Verde, PR",05 de Set às 20:00
https://www.sympla.com.br/evento/maeana-canta-jg-na-cel-sessao-extra-12-09/3071938,Mãeana canta JG na CEL - Sessão Extra - 12/09,"Casa Estação da Luz - Olinda, PE",12 de Set às 18:30
https://bileto.sympla.com.br/event/108567,HUMBERTO GESSINGER - ACÚSTICOS ENGENHEIROS DO HAWAII,"Befly Hall - Belo Horizonte, MG",13 de Dez às 22:00
https://www.sympla.com.br/evento/carpe-vita-winter-festival-gramado-canela-2025-mystic-sunset/2342240,Carpe Vita Winter Festival Gramado/Canela  2025 -  Mystic Sunset,"CASA DO CAMPO - Canela, RS",
https://www.sympla.com.br/evento/tardezinha-do-papai/3068194,TARDEZINHA DO PAPAI ,"Sirena  - Juiz de Fora, MG",06 de Set às 16:00
https://www.sympla.com.br/evento/7a-edicao-balada-das-divas-maes-de-jundiai/3035817,7a edição: Balada das Divas Mães de Jundiaí,"Jumpbarbecue - Jundiaí, SP",19 de Set às 19:00
https://www.sympla.com.br/evento/maeana-canta-jg-na-cel/3043426,Mãeana canta JG na CEL,"Casa Estação da Luz - Olinda, PE",13 de Set às 17:30
https://bileto.sympla.com.br/event/101667,OS PARALAMAS DO SUCESSO: PARALAMAS CLÁSSICOS - 40 ANOS,"Befly Hall - Belo Horizonte, MG",29 de Ago às 22:00
https://bileto.sympla.com.br/event/102707,ROUPA NOVA - TOUR 2025,"Befly Hall - Belo Horizonte, MG",17 de Out às 22:00
https://www.sympla.com.br/evento/area-vip-mundial-de-beach-tennis-bt-400-sul-special-cup-2025/3063365,ÁREA VIP - Mundial de Beach Tennis - BT 400 Sul Special Cup 2025,"Vila Ventura Ecoresort - Viamão, RS",
https://www.sympla.com.br/evento/sesc-vanessa-da-mata/3034520,SESC - VANESSA DA MATA,"Parque de Exposição Pedro Felício Cavalcante - Crato, CE",23 de Ago às 20:00
https://bileto.sympla.com.br/event/103572,Rodrigo Teaser Tributo ao Rei do Pop,"Centro de Convenções Ulysses Guimarães - Brasília, DF",16 de Ago às 20:00
https://www.sympla.com.br/evento/hiphop-workout-collective-7a-edicao-kendrick-x-drake/3065396,Hiphop Workout Collective 7ª Edição - KENDRICK X DRAKE,"Av. Antônio Estevão de Carvalho, 2100 - São Paulo, SP",17 de Ago às 08:30
